"Humidity"	"Date"	"DateTime"	"Time"	"D"	"M"	"Y"	"m"
96,25	2024-12-27	2024-12-27 02:29:43	2H 29M 43S	27	12	2024	29
96,25	2024-12-27	2024-12-27 02:29:43	2H 29M 43S	27	12	2024	29
96,21	2024-12-27	2024-12-27 02:59:42	2H 59M 42S	27	12	2024	59
96,21	2024-12-27	2024-12-27 02:59:42	2H 59M 42S	27	12	2024	59
96,21	2024-12-27	2024-12-27 02:59:42	2H 59M 42S	27	12	2024	59
99,25	2024-12-27	2024-12-27 03:29:27	3H 29M 27S	27	12	2024	29
99,25	2024-12-27	2024-12-27 03:29:27	3H 29M 27S	27	12	2024	29
99,25	2024-12-27	2024-12-27 03:29:27	3H 29M 27S	27	12	2024	29
96,15	2024-12-27	2024-12-27 03:29:42	3H 29M 42S	27	12	2024	29
96,15	2024-12-27	2024-12-27 03:29:42	3H 29M 42S	27	12	2024	29
96,15	2024-12-27	2024-12-27 03:29:42	3H 29M 42S	27	12	2024	29
99,38	2024-12-27	2024-12-27 03:59:27	3H 59M 27S	27	12	2024	59
99,38	2024-12-27	2024-12-27 03:59:27	3H 59M 27S	27	12	2024	59
99,38	2024-12-27	2024-12-27 03:59:27	3H 59M 27S	27	12	2024	59
96,14	2024-12-27	2024-12-27 03:59:42	3H 59M 42S	27	12	2024	59
96,14	2024-12-27	2024-12-27 03:59:42	3H 59M 42S	27	12	2024	59
96,14	2024-12-27	2024-12-27 03:59:42	3H 59M 42S	27	12	2024	59
99,5	2024-12-27	2024-12-27 04:29:26	4H 29M 26S	27	12	2024	29
99,5	2024-12-27	2024-12-27 04:29:26	4H 29M 26S	27	12	2024	29
99,5	2024-12-27	2024-12-27 04:29:26	4H 29M 26S	27	12	2024	29
96,21	2024-12-27	2024-12-27 04:29:42	4H 29M 42S	27	12	2024	29
96,21	2024-12-27	2024-12-27 04:29:42	4H 29M 42S	27	12	2024	29
99,53	2024-12-27	2024-12-27 04:59:26	4H 59M 26S	27	12	2024	59
99,53	2024-12-27	2024-12-27 04:59:26	4H 59M 26S	27	12	2024	59
99,53	2024-12-27	2024-12-27 04:59:26	4H 59M 26S	27	12	2024	59
99,57	2024-12-27	2024-12-27 05:29:26	5H 29M 26S	27	12	2024	29
99,57	2024-12-27	2024-12-27 05:29:26	5H 29M 26S	27	12	2024	29
99,57	2024-12-27	2024-12-27 05:29:26	5H 29M 26S	27	12	2024	29
96,2	2024-12-27	2024-12-27 05:29:42	5H 29M 42S	27	12	2024	29
96,2	2024-12-27	2024-12-27 05:29:42	5H 29M 42S	27	12	2024	29
96,2	2024-12-27	2024-12-27 05:29:42	5H 29M 42S	27	12	2024	29
96,18	2024-12-27	2024-12-27 05:59:42	5H 59M 42S	27	12	2024	59
96,18	2024-12-27	2024-12-27 05:59:42	5H 59M 42S	27	12	2024	59
96,18	2024-12-27	2024-12-27 05:59:42	5H 59M 42S	27	12	2024	59
99,67	2024-12-27	2024-12-27 06:29:26	6H 29M 26S	27	12	2024	29
99,67	2024-12-27	2024-12-27 06:29:26	6H 29M 26S	27	12	2024	29
96,22	2024-12-27	2024-12-27 06:29:41	6H 29M 41S	27	12	2024	29
96,22	2024-12-27	2024-12-27 06:29:41	6H 29M 41S	27	12	2024	29
96,22	2024-12-27	2024-12-27 06:29:41	6H 29M 41S	27	12	2024	29
96,15	2024-12-27	2024-12-27 06:59:41	6H 59M 41S	27	12	2024	59
96,15	2024-12-27	2024-12-27 06:59:41	6H 59M 41S	27	12	2024	59
96,15	2024-12-27	2024-12-27 06:59:41	6H 59M 41S	27	12	2024	59
96,07	2024-12-27	2024-12-27 07:29:41	7H 29M 41S	27	12	2024	29
96,07	2024-12-27	2024-12-27 07:29:41	7H 29M 41S	27	12	2024	29
96,07	2024-12-27	2024-12-27 07:29:41	7H 29M 41S	27	12	2024	29
99,43	2024-12-27	2024-12-27 07:30:40	7H 30M 40S	27	12	2024	30
96,07	2024-12-27	2024-12-27 07:30:39	7H 30M 39S	27	12	2024	30
96,07	2024-12-27	2024-12-27 07:30:39	7H 30M 39S	27	12	2024	30
99,43	2024-12-27	2024-12-27 07:30:40	7H 30M 40S	27	12	2024	30
99,43	2024-12-27	2024-12-27 07:30:40	7H 30M 40S	27	12	2024	30
96,07	2024-12-27	2024-12-27 07:30:39	7H 30M 39S	27	12	2024	30
99,16	2024-12-27	2024-12-27 07:59:25	7H 59M 25S	27	12	2024	59
95,94	2024-12-27	2024-12-27 07:59:41	7H 59M 41S	27	12	2024	59
95,94	2024-12-27	2024-12-27 07:59:41	7H 59M 41S	27	12	2024	59
95,94	2024-12-27	2024-12-27 07:59:41	7H 59M 41S	27	12	2024	59
99,12	2024-12-27	2024-12-27 08:29:25	8H 29M 25S	27	12	2024	29
99,12	2024-12-27	2024-12-27 08:29:25	8H 29M 25S	27	12	2024	29
99,12	2024-12-27	2024-12-27 08:29:25	8H 29M 25S	27	12	2024	29
95,99	2024-12-27	2024-12-27 08:29:41	8H 29M 41S	27	12	2024	29
95,99	2024-12-27	2024-12-27 08:29:41	8H 29M 41S	27	12	2024	29
95,99	2024-12-27	2024-12-27 08:29:41	8H 29M 41S	27	12	2024	29
99,13	2024-12-27	2024-12-27 08:59:25	8H 59M 25S	27	12	2024	59
99,13	2024-12-27	2024-12-27 08:59:25	8H 59M 25S	27	12	2024	59
99,13	2024-12-27	2024-12-27 08:59:25	8H 59M 25S	27	12	2024	59
95,89	2024-12-27	2024-12-27 08:59:41	8H 59M 41S	27	12	2024	59
95,89	2024-12-27	2024-12-27 08:59:41	8H 59M 41S	27	12	2024	59
95,89	2024-12-27	2024-12-27 08:59:41	8H 59M 41S	27	12	2024	59
99,17	2024-12-27	2024-12-27 09:29:25	9H 29M 25S	27	12	2024	29
99,17	2024-12-27	2024-12-27 09:29:25	9H 29M 25S	27	12	2024	29
99,17	2024-12-27	2024-12-27 09:29:25	9H 29M 25S	27	12	2024	29
95,91	2024-12-27	2024-12-27 09:29:41	9H 29M 41S	27	12	2024	29
95,91	2024-12-27	2024-12-27 09:29:41	9H 29M 41S	27	12	2024	29
95,91	2024-12-27	2024-12-27 09:29:41	9H 29M 41S	27	12	2024	29
99,03	2024-12-27	2024-12-27 09:59:25	9H 59M 25S	27	12	2024	59
99,03	2024-12-27	2024-12-27 09:59:25	9H 59M 25S	27	12	2024	59
99,03	2024-12-27	2024-12-27 09:59:25	9H 59M 25S	27	12	2024	59
95,96	2024-12-27	2024-12-27 09:59:40	9H 59M 40S	27	12	2024	59
95,96	2024-12-27	2024-12-27 09:59:40	9H 59M 40S	27	12	2024	59
95,96	2024-12-27	2024-12-27 09:59:40	9H 59M 40S	27	12	2024	59
96,02	2024-12-27	2024-12-27 10:29:40	10H 29M 40S	27	12	2024	29
96,02	2024-12-27	2024-12-27 10:29:40	10H 29M 40S	27	12	2024	29
96,02	2024-12-27	2024-12-27 10:29:40	10H 29M 40S	27	12	2024	29
98,87	2024-12-27	2024-12-27 10:59:25	10H 59M 25S	27	12	2024	59
98,87	2024-12-27	2024-12-27 10:59:25	10H 59M 25S	27	12	2024	59
95,49	2024-12-27	2024-12-27 10:59:40	10H 59M 40S	27	12	2024	59
95,49	2024-12-27	2024-12-27 10:59:40	10H 59M 40S	27	12	2024	59
98,86	2024-12-27	2024-12-27 11:29:24	11H 29M 24S	27	12	2024	29
98,86	2024-12-27	2024-12-27 11:29:24	11H 29M 24S	27	12	2024	29
98,86	2024-12-27	2024-12-27 11:29:24	11H 29M 24S	27	12	2024	29
95,49	2024-12-27	2024-12-27 11:29:40	11H 29M 40S	27	12	2024	29
95,49	2024-12-27	2024-12-27 11:29:40	11H 29M 40S	27	12	2024	29
95,49	2024-12-27	2024-12-27 11:29:40	11H 29M 40S	27	12	2024	29
99,14	2024-12-27	2024-12-27 11:59:24	11H 59M 24S	27	12	2024	59
99,14	2024-12-27	2024-12-27 11:59:24	11H 59M 24S	27	12	2024	59
99,14	2024-12-27	2024-12-27 11:59:24	11H 59M 24S	27	12	2024	59
95,87	2024-12-27	2024-12-27 11:59:40	11H 59M 40S	27	12	2024	59
95,87	2024-12-27	2024-12-27 11:59:40	11H 59M 40S	27	12	2024	59
95,87	2024-12-27	2024-12-27 11:59:40	11H 59M 40S	27	12	2024	59
98,79	2024-12-27	2024-12-27 12:29:24	12H 29M 24S	27	12	2024	29
98,79	2024-12-27	2024-12-27 12:29:24	12H 29M 24S	27	12	2024	29
95,46	2024-12-27	2024-12-27 12:29:40	12H 29M 40S	27	12	2024	29
95,46	2024-12-27	2024-12-27 12:29:40	12H 29M 40S	27	12	2024	29
98,88	2024-12-27	2024-12-27 12:59:24	12H 59M 24S	27	12	2024	59
98,88	2024-12-27	2024-12-27 12:59:24	12H 59M 24S	27	12	2024	59
98,88	2024-12-27	2024-12-27 12:59:24	12H 59M 24S	27	12	2024	59
95,29	2024-12-27	2024-12-27 12:59:39	12H 59M 39S	27	12	2024	59
95,29	2024-12-27	2024-12-27 12:59:39	12H 59M 39S	27	12	2024	59
95,29	2024-12-27	2024-12-27 12:59:39	12H 59M 39S	27	12	2024	59
99,26	2024-12-27	2024-12-27 13:29:24	13H 29M 24S	27	12	2024	29
99,26	2024-12-27	2024-12-27 13:29:24	13H 29M 24S	27	12	2024	29
99,26	2024-12-27	2024-12-27 13:29:24	13H 29M 24S	27	12	2024	29
95,52	2024-12-27	2024-12-27 13:29:39	13H 29M 39S	27	12	2024	29
95,52	2024-12-27	2024-12-27 13:29:39	13H 29M 39S	27	12	2024	29
95,52	2024-12-27	2024-12-27 13:29:39	13H 29M 39S	27	12	2024	29
99,04	2024-12-27	2024-12-27 14:59:23	14H 59M 23S	27	12	2024	59
99,04	2024-12-27	2024-12-27 14:59:23	14H 59M 23S	27	12	2024	59
99,04	2024-12-27	2024-12-27 14:59:23	14H 59M 23S	27	12	2024	59
96	2024-12-27	2024-12-27 14:59:39	14H 59M 39S	27	12	2024	59
96	2024-12-27	2024-12-27 14:59:39	14H 59M 39S	27	12	2024	59
96	2024-12-27	2024-12-27 14:59:39	14H 59M 39S	27	12	2024	59
99,29	2024-12-27	2024-12-27 15:29:23	15H 29M 23S	27	12	2024	29
99,29	2024-12-27	2024-12-27 15:29:23	15H 29M 23S	27	12	2024	29
99,29	2024-12-27	2024-12-27 15:29:23	15H 29M 23S	27	12	2024	29
99,58	2024-12-27	2024-12-27 15:59:23	15H 59M 23S	27	12	2024	59
99,58	2024-12-27	2024-12-27 15:59:23	15H 59M 23S	27	12	2024	59
99,58	2024-12-27	2024-12-27 15:59:23	15H 59M 23S	27	12	2024	59
96,13	2024-12-27	2024-12-27 15:59:39	15H 59M 39S	27	12	2024	59
96,13	2024-12-27	2024-12-27 15:59:39	15H 59M 39S	27	12	2024	59
96,13	2024-12-27	2024-12-27 15:59:39	15H 59M 39S	27	12	2024	59
99,62	2024-12-27	2024-12-27 16:29:23	16H 29M 23S	27	12	2024	29
99,62	2024-12-27	2024-12-27 16:29:23	16H 29M 23S	27	12	2024	29
96,34	2024-12-27	2024-12-27 16:29:39	16H 29M 39S	27	12	2024	29
96,34	2024-12-27	2024-12-27 16:29:39	16H 29M 39S	27	12	2024	29
99,76	2024-12-27	2024-12-27 16:59:23	16H 59M 23S	27	12	2024	59
99,76	2024-12-27	2024-12-27 16:59:23	16H 59M 23S	27	12	2024	59
99,76	2024-12-27	2024-12-27 16:59:23	16H 59M 23S	27	12	2024	59
96,5	2024-12-27	2024-12-27 16:59:38	16H 59M 38S	27	12	2024	59
96,5	2024-12-27	2024-12-27 16:59:38	16H 59M 38S	27	12	2024	59
96,5	2024-12-27	2024-12-27 16:59:38	16H 59M 38S	27	12	2024	59
99,78	2024-12-27	2024-12-27 17:29:23	17H 29M 23S	27	12	2024	29
99,78	2024-12-27	2024-12-27 17:29:23	17H 29M 23S	27	12	2024	29
99,78	2024-12-27	2024-12-27 17:29:23	17H 29M 23S	27	12	2024	29
96,22	2024-12-27	2024-12-27 17:59:38	17H 59M 38S	27	12	2024	59
96,22	2024-12-27	2024-12-27 17:59:38	17H 59M 38S	27	12	2024	59
96,22	2024-12-27	2024-12-27 17:59:38	17H 59M 38S	27	12	2024	59
96,3	2024-12-27	2024-12-27 18:29:38	18H 29M 38S	27	12	2024	29
96,3	2024-12-27	2024-12-27 18:29:38	18H 29M 38S	27	12	2024	29
96,3	2024-12-27	2024-12-27 18:29:38	18H 29M 38S	27	12	2024	29
99,77	2024-12-27	2024-12-27 18:59:22	18H 59M 22S	27	12	2024	59
99,77	2024-12-27	2024-12-27 18:59:22	18H 59M 22S	27	12	2024	59
99,77	2024-12-27	2024-12-27 18:59:22	18H 59M 22S	27	12	2024	59
99,92	2024-12-27	2024-12-27 19:29:22	19H 29M 22S	27	12	2024	29
99,92	2024-12-27	2024-12-27 19:29:22	19H 29M 22S	27	12	2024	29
95,69	2024-12-26	2024-12-26 01:00:25	1H 0M 25S	26	12	2024	0
94,24	2024-12-26	2024-12-26 01:00:25	1H 0M 25S	26	12	2024	0
94,24	2024-12-26	2024-12-26 01:00:25	1H 0M 25S	26	12	2024	0
95,76	2024-12-26	2024-12-26 01:29:34	1H 29M 34S	26	12	2024	29
95,76	2024-12-26	2024-12-26 01:29:34	1H 29M 34S	26	12	2024	29
95,76	2024-12-26	2024-12-26 01:29:34	1H 29M 34S	26	12	2024	29
94,41	2024-12-26	2024-12-26 01:29:50	1H 29M 50S	26	12	2024	29
94,41	2024-12-26	2024-12-26 01:29:50	1H 29M 50S	26	12	2024	29
94,41	2024-12-26	2024-12-26 01:29:50	1H 29M 50S	26	12	2024	29
95,87	2024-12-26	2024-12-26 01:59:34	1H 59M 34S	26	12	2024	59
95,87	2024-12-26	2024-12-26 01:59:34	1H 59M 34S	26	12	2024	59
95,87	2024-12-26	2024-12-26 01:59:34	1H 59M 34S	26	12	2024	59
94,33	2024-12-26	2024-12-26 01:59:49	1H 59M 49S	26	12	2024	59
94,33	2024-12-26	2024-12-26 01:59:49	1H 59M 49S	26	12	2024	59
94,33	2024-12-26	2024-12-26 01:59:49	1H 59M 49S	26	12	2024	59
96,04	2024-12-26	2024-12-26 02:29:34	2H 29M 34S	26	12	2024	29
96,04	2024-12-26	2024-12-26 02:29:34	2H 29M 34S	26	12	2024	29
96,04	2024-12-26	2024-12-26 02:29:34	2H 29M 34S	26	12	2024	29
94,46	2024-12-26	2024-12-26 02:29:49	2H 29M 49S	26	12	2024	29
94,46	2024-12-26	2024-12-26 02:29:49	2H 29M 49S	26	12	2024	29
94,46	2024-12-26	2024-12-26 02:29:49	2H 29M 49S	26	12	2024	29
96,08	2024-12-26	2024-12-26 02:59:34	2H 59M 34S	26	12	2024	59
96,08	2024-12-26	2024-12-26 02:59:34	2H 59M 34S	26	12	2024	59
96,08	2024-12-26	2024-12-26 02:59:34	2H 59M 34S	26	12	2024	59
94,59	2024-12-26	2024-12-26 02:59:49	2H 59M 49S	26	12	2024	59
94,59	2024-12-26	2024-12-26 02:59:49	2H 59M 49S	26	12	2024	59
94,59	2024-12-26	2024-12-26 02:59:49	2H 59M 49S	26	12	2024	59
96,14	2024-12-26	2024-12-26 03:29:34	3H 29M 34S	26	12	2024	29
96,14	2024-12-26	2024-12-26 03:29:34	3H 29M 34S	26	12	2024	29
94,61	2024-12-26	2024-12-26 03:29:49	3H 29M 49S	26	12	2024	29
94,61	2024-12-26	2024-12-26 03:29:49	3H 29M 49S	26	12	2024	29
94,61	2024-12-26	2024-12-26 03:29:49	3H 29M 49S	26	12	2024	29
96,23	2024-12-26	2024-12-26 03:59:33	3H 59M 33S	26	12	2024	59
96,23	2024-12-26	2024-12-26 03:59:33	3H 59M 33S	26	12	2024	59
96,23	2024-12-26	2024-12-26 03:59:33	3H 59M 33S	26	12	2024	59
94,52	2024-12-26	2024-12-26 03:59:49	3H 59M 49S	26	12	2024	59
94,52	2024-12-26	2024-12-26 03:59:49	3H 59M 49S	26	12	2024	59
94,52	2024-12-26	2024-12-26 03:59:49	3H 59M 49S	26	12	2024	59
96,37	2024-12-26	2024-12-26 04:29:33	4H 29M 33S	26	12	2024	29
96,37	2024-12-26	2024-12-26 04:29:41	4H 29M 41S	26	12	2024	29
94,7	2024-12-26	2024-12-26 04:29:49	4H 29M 49S	26	12	2024	29
94,7	2024-12-26	2024-12-26 04:29:49	4H 29M 49S	26	12	2024	29
94,7	2024-12-26	2024-12-26 04:29:49	4H 29M 49S	26	12	2024	29
96,38	2024-12-26	2024-12-26 04:59:33	4H 59M 33S	26	12	2024	59
96,38	2024-12-26	2024-12-26 04:59:33	4H 59M 33S	26	12	2024	59
96,38	2024-12-26	2024-12-26 04:59:33	4H 59M 33S	26	12	2024	59
94,76	2024-12-26	2024-12-26 04:59:49	4H 59M 49S	26	12	2024	59
94,76	2024-12-26	2024-12-26 04:59:49	4H 59M 49S	26	12	2024	59
96,46	2024-12-26	2024-12-26 05:29:33	5H 29M 33S	26	12	2024	29
96,46	2024-12-26	2024-12-26 05:29:33	5H 29M 33S	26	12	2024	29
96,46	2024-12-26	2024-12-26 05:29:33	5H 29M 33S	26	12	2024	29
94,78	2024-12-26	2024-12-26 05:29:48	5H 29M 48S	26	12	2024	29
94,78	2024-12-26	2024-12-26 05:29:48	5H 29M 48S	26	12	2024	29
94,78	2024-12-26	2024-12-26 05:29:48	5H 29M 48S	26	12	2024	29
96,44	2024-12-26	2024-12-26 05:59:33	5H 59M 33S	26	12	2024	59
96,44	2024-12-26	2024-12-26 05:59:33	5H 59M 33S	26	12	2024	59
96,44	2024-12-26	2024-12-26 05:59:33	5H 59M 33S	26	12	2024	59
94,73	2024-12-26	2024-12-26 05:59:48	5H 59M 48S	26	12	2024	59
94,73	2024-12-26	2024-12-26 05:59:48	5H 59M 48S	26	12	2024	59
94,73	2024-12-26	2024-12-26 05:59:48	5H 59M 48S	26	12	2024	59
96,55	2024-12-26	2024-12-26 06:29:33	6H 29M 33S	26	12	2024	29
96,55	2024-12-26	2024-12-26 06:29:33	6H 29M 33S	26	12	2024	29
96,55	2024-12-26	2024-12-26 06:29:33	6H 29M 33S	26	12	2024	29
94,76	2024-12-26	2024-12-26 06:29:48	6H 29M 48S	26	12	2024	29
94,76	2024-12-26	2024-12-26 06:29:48	6H 29M 48S	26	12	2024	29
96,55	2024-12-26	2024-12-26 06:59:33	6H 59M 33S	26	12	2024	59
96,55	2024-12-26	2024-12-26 06:59:33	6H 59M 33S	26	12	2024	59
96,55	2024-12-26	2024-12-26 06:59:33	6H 59M 33S	26	12	2024	59
96,62	2024-12-26	2024-12-26 07:29:32	7H 29M 32S	26	12	2024	29
96,62	2024-12-26	2024-12-26 07:29:32	7H 29M 32S	26	12	2024	29
96,62	2024-12-26	2024-12-26 07:29:32	7H 29M 32S	26	12	2024	29
94,76	2024-12-26	2024-12-26 07:29:48	7H 29M 48S	26	12	2024	29
94,76	2024-12-26	2024-12-26 07:29:48	7H 29M 48S	26	12	2024	29
94,76	2024-12-26	2024-12-26 07:29:48	7H 29M 48S	26	12	2024	29
96,56	2024-12-26	2024-12-26 07:59:32	7H 59M 32S	26	12	2024	59
96,56	2024-12-26	2024-12-26 07:59:32	7H 59M 32S	26	12	2024	59
96,56	2024-12-26	2024-12-26 07:59:32	7H 59M 32S	26	12	2024	59
94,81	2024-12-26	2024-12-26 07:59:48	7H 59M 48S	26	12	2024	59
94,81	2024-12-26	2024-12-26 07:59:48	7H 59M 48S	26	12	2024	59
94,81	2024-12-26	2024-12-26 07:59:48	7H 59M 48S	26	12	2024	59
96,49	2024-12-26	2024-12-26 08:29:32	8H 29M 32S	26	12	2024	29
96,49	2024-12-26	2024-12-26 08:29:32	8H 29M 32S	26	12	2024	29
96,49	2024-12-26	2024-12-26 08:29:32	8H 29M 32S	26	12	2024	29
94,8	2024-12-26	2024-12-26 08:29:48	8H 29M 48S	26	12	2024	29
94,8	2024-12-26	2024-12-26 08:29:48	8H 29M 48S	26	12	2024	29
94,8	2024-12-26	2024-12-26 08:29:48	8H 29M 48S	26	12	2024	29
96,35	2024-12-26	2024-12-26 08:59:32	8H 59M 32S	26	12	2024	59
96,35	2024-12-26	2024-12-26 08:59:32	8H 59M 32S	26	12	2024	59
96,35	2024-12-26	2024-12-26 08:59:32	8H 59M 32S	26	12	2024	59
94,88	2024-12-26	2024-12-26 08:59:47	8H 59M 47S	26	12	2024	59
94,88	2024-12-26	2024-12-26 08:59:47	8H 59M 47S	26	12	2024	59
94,88	2024-12-26	2024-12-26 08:59:47	8H 59M 47S	26	12	2024	59
96,22	2024-12-26	2024-12-26 09:29:32	9H 29M 32S	26	12	2024	29
96,22	2024-12-26	2024-12-26 09:29:32	9H 29M 32S	26	12	2024	29
96,22	2024-12-26	2024-12-26 09:29:32	9H 29M 32S	26	12	2024	29
94,77	2024-12-26	2024-12-26 09:29:47	9H 29M 47S	26	12	2024	29
94,77	2024-12-26	2024-12-26 09:29:47	9H 29M 47S	26	12	2024	29
94,77	2024-12-26	2024-12-26 09:29:47	9H 29M 47S	26	12	2024	29
96,16	2024-12-26	2024-12-26 09:59:32	9H 59M 32S	26	12	2024	59
96,16	2024-12-26	2024-12-26 09:59:32	9H 59M 32S	26	12	2024	59
96,16	2024-12-26	2024-12-26 09:59:32	9H 59M 32S	26	12	2024	59
94,76	2024-12-26	2024-12-26 09:59:47	9H 59M 47S	26	12	2024	59
94,76	2024-12-26	2024-12-26 09:59:47	9H 59M 47S	26	12	2024	59
94,76	2024-12-26	2024-12-26 09:59:47	9H 59M 47S	26	12	2024	59
96,08	2024-12-26	2024-12-26 10:29:32	10H 29M 32S	26	12	2024	29
96,08	2024-12-26	2024-12-26 10:29:32	10H 29M 32S	26	12	2024	29
96,08	2024-12-26	2024-12-26 10:29:32	10H 29M 32S	26	12	2024	29
94,86	2024-12-26	2024-12-26 10:29:47	10H 29M 47S	26	12	2024	29
94,86	2024-12-26	2024-12-26 10:29:47	10H 29M 47S	26	12	2024	29
94,86	2024-12-26	2024-12-26 10:29:47	10H 29M 47S	26	12	2024	29
96,07	2024-12-26	2024-12-26 10:59:31	10H 59M 31S	26	12	2024	59
96,07	2024-12-26	2024-12-26 10:59:31	10H 59M 31S	26	12	2024	59
96,07	2024-12-26	2024-12-26 10:59:31	10H 59M 31S	26	12	2024	59
94,83	2024-12-26	2024-12-26 10:59:47	10H 59M 47S	26	12	2024	59
94,83	2024-12-26	2024-12-26 10:59:47	10H 59M 47S	26	12	2024	59
94,83	2024-12-26	2024-12-26 10:59:47	10H 59M 47S	26	12	2024	59
94,76	2024-12-26	2024-12-26 11:29:47	11H 29M 47S	26	12	2024	29
94,76	2024-12-26	2024-12-26 11:29:47	11H 29M 47S	26	12	2024	29
94,76	2024-12-26	2024-12-26 11:29:47	11H 29M 47S	26	12	2024	29
94,99	2024-12-26	2024-12-26 12:29:46	12H 29M 46S	26	12	2024	29
94,99	2024-12-26	2024-12-26 12:29:46	12H 29M 46S	26	12	2024	29
94,99	2024-12-26	2024-12-26 12:29:46	12H 29M 46S	26	12	2024	29
95,32	2024-12-26	2024-12-26 13:29:31	13H 29M 31S	26	12	2024	29
95,32	2024-12-26	2024-12-26 13:29:31	13H 29M 31S	26	12	2024	29
95,32	2024-12-26	2024-12-26 13:29:31	13H 29M 31S	26	12	2024	29
94,86	2024-12-26	2024-12-26 13:29:46	13H 29M 46S	26	12	2024	29
94,86	2024-12-26	2024-12-26 13:29:46	13H 29M 46S	26	12	2024	29
94,86	2024-12-26	2024-12-26 13:29:46	13H 29M 46S	26	12	2024	29
95,43	2024-12-26	2024-12-26 13:59:31	13H 59M 31S	26	12	2024	59
95,43	2024-12-26	2024-12-26 13:59:31	13H 59M 31S	26	12	2024	59
95,43	2024-12-26	2024-12-26 13:59:31	13H 59M 31S	26	12	2024	59
95,13	2024-12-26	2024-12-26 14:29:30	14H 29M 30S	26	12	2024	29
95,13	2024-12-26	2024-12-26 14:29:30	14H 29M 30S	26	12	2024	29
95,13	2024-12-26	2024-12-26 14:29:30	14H 29M 30S	26	12	2024	29
94,63	2024-12-26	2024-12-26 14:29:46	14H 29M 46S	26	12	2024	29
94,63	2024-12-26	2024-12-26 14:29:46	14H 29M 46S	26	12	2024	29
94,63	2024-12-26	2024-12-26 14:29:46	14H 29M 46S	26	12	2024	29
95,33	2024-12-26	2024-12-26 14:59:30	14H 59M 30S	26	12	2024	59
95,33	2024-12-26	2024-12-26 14:59:30	14H 59M 30S	26	12	2024	59
95,33	2024-12-26	2024-12-26 14:59:30	14H 59M 30S	26	12	2024	59
95,14	2024-12-26	2024-12-26 14:59:38	14H 59M 38S	26	12	2024	59
95,14	2024-12-26	2024-12-26 14:59:46	14H 59M 46S	26	12	2024	59
95,14	2024-12-26	2024-12-26 14:59:46	14H 59M 46S	26	12	2024	59
95,57	2024-12-26	2024-12-26 15:29:30	15H 29M 30S	26	12	2024	29
95,57	2024-12-26	2024-12-26 15:29:30	15H 29M 30S	26	12	2024	29
95,57	2024-12-26	2024-12-26 15:29:30	15H 29M 30S	26	12	2024	29
94,74	2024-12-26	2024-12-26 15:29:46	15H 29M 46S	26	12	2024	29
94,74	2024-12-26	2024-12-26 15:29:46	15H 29M 46S	26	12	2024	29
94,74	2024-12-26	2024-12-26 15:29:46	15H 29M 46S	26	12	2024	29
95,47	2024-12-26	2024-12-26 15:59:30	15H 59M 30S	26	12	2024	59
95,47	2024-12-26	2024-12-26 15:59:30	15H 59M 30S	26	12	2024	59
95,99	2024-12-26	2024-12-26 16:29:30	16H 29M 30S	26	12	2024	29
