"Temperature"	"Pressure"	"Humidity"	"CO2.Concentration"	"Luminosity"	"UV.Intensity"	"UV.Index"	"Latitude"	"Longitude"	"Speed"	"Altitude"	"GNSS.Time"	"GNSS.Date"	"Date"	"Time"	"H"	"D"	"M"	"Y"	"m"	"DateTime"
19,77	NA	96,21	336	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	2H 59M 42S	2	27	12	2024	59	2024-12-27 02:59:42
19,77	NA	96,21	336	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	2H 59M 42S	2	27	12	2024	59	2024-12-27 02:59:42
19,77	NA	96,21	336	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	2H 59M 42S	2	27	12	2024	59	2024-12-27 02:59:42
20,21	92,5	99,25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	3H 29M 27S	3	27	12	2024	29	2024-12-27 03:29:27
20,21	92,5	99,25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	3H 29M 27S	3	27	12	2024	29	2024-12-27 03:29:27
20,21	92,5	99,25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	3H 29M 27S	3	27	12	2024	29	2024-12-27 03:29:27
NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	3H 29M 34S	3	27	12	2024	29	2024-12-27 03:29:34
NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	3H 29M 34S	3	27	12	2024	29	2024-12-27 03:29:34
NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	3H 29M 34S	3	27	12	2024	29	2024-12-27 03:29:34
19,99	NA	96,15	342	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	3H 29M 42S	3	27	12	2024	29	2024-12-27 03:29:42
19,99	NA	96,15	342	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	3H 29M 42S	3	27	12	2024	29	2024-12-27 03:29:42
19,99	NA	96,15	342	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	3H 29M 42S	3	27	12	2024	29	2024-12-27 03:29:42
20,18	92,51	99,38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	3H 59M 27S	3	27	12	2024	59	2024-12-27 03:59:27
20,18	92,51	99,38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	3H 59M 27S	3	27	12	2024	59	2024-12-27 03:59:27
20,18	92,51	99,38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	3H 59M 27S	3	27	12	2024	59	2024-12-27 03:59:27
NA	NA	NA	NA	0	2	0,03	NA	NA	NA	NA	NA	NA	2024-12-27	3H 59M 34S	3	27	12	2024	59	2024-12-27 03:59:34
NA	NA	NA	NA	0	2	0,03	NA	NA	NA	NA	NA	NA	2024-12-27	3H 59M 34S	3	27	12	2024	59	2024-12-27 03:59:34
NA	NA	NA	NA	0	2	0,03	NA	NA	NA	NA	NA	NA	2024-12-27	3H 59M 34S	3	27	12	2024	59	2024-12-27 03:59:34
19,91	NA	96,14	354	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	3H 59M 42S	3	27	12	2024	59	2024-12-27 03:59:42
19,91	NA	96,14	354	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	3H 59M 42S	3	27	12	2024	59	2024-12-27 03:59:42
19,91	NA	96,14	354	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	3H 59M 42S	3	27	12	2024	59	2024-12-27 03:59:42
20,21	92,55	99,5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	4H 29M 26S	4	27	12	2024	29	2024-12-27 04:29:26
20,21	92,55	99,5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	4H 29M 26S	4	27	12	2024	29	2024-12-27 04:29:26
20,21	92,55	99,5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	4H 29M 26S	4	27	12	2024	29	2024-12-27 04:29:26
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	4H 29M 34S	4	27	12	2024	29	2024-12-27 04:29:34
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	4H 29M 34S	4	27	12	2024	29	2024-12-27 04:29:34
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	4H 29M 34S	4	27	12	2024	29	2024-12-27 04:29:34
19,94	NA	96,21	348	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	4H 29M 42S	4	27	12	2024	29	2024-12-27 04:29:42
19,94	NA	96,21	348	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	4H 29M 42S	4	27	12	2024	29	2024-12-27 04:29:42
20,25	92,55	99,53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	4H 59M 26S	4	27	12	2024	59	2024-12-27 04:59:26
20,25	92,55	99,53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	4H 59M 26S	4	27	12	2024	59	2024-12-27 04:59:26
20,25	92,55	99,53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	4H 59M 26S	4	27	12	2024	59	2024-12-27 04:59:26
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	4H 59M 34S	4	27	12	2024	59	2024-12-27 04:59:34
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	4H 59M 34S	4	27	12	2024	59	2024-12-27 04:59:34
NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	4H 59M 34S	4	27	12	2024	59	2024-12-27 04:59:34
20,37	92,59	99,57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	5H 29M 26S	5	27	12	2024	29	2024-12-27 05:29:26
20,37	92,59	99,57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	5H 29M 26S	5	27	12	2024	29	2024-12-27 05:29:26
20,37	92,59	99,57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	5H 29M 26S	5	27	12	2024	29	2024-12-27 05:29:26
20,19	NA	96,2	345	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	5H 29M 42S	5	27	12	2024	29	2024-12-27 05:29:42
20,19	NA	96,2	345	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	5H 29M 42S	5	27	12	2024	29	2024-12-27 05:29:42
20,19	NA	96,2	345	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	5H 29M 42S	5	27	12	2024	29	2024-12-27 05:29:42
NA	NA	NA	NA	4	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	5H 59M 34S	5	27	12	2024	59	2024-12-27 05:59:34
NA	NA	NA	NA	4	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	5H 59M 34S	5	27	12	2024	59	2024-12-27 05:59:34
NA	NA	NA	NA	4	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	5H 59M 34S	5	27	12	2024	59	2024-12-27 05:59:34
20,22	NA	96,18	351	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	5H 59M 42S	5	27	12	2024	59	2024-12-27 05:59:42
20,22	NA	96,18	351	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	5H 59M 42S	5	27	12	2024	59	2024-12-27 05:59:42
20,22	NA	96,18	351	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	5H 59M 42S	5	27	12	2024	59	2024-12-27 05:59:42
NA	NA	NA	NA	4	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	6H 1M 10S	6	27	12	2024	1	2024-12-27 06:01:10
NA	NA	NA	NA	4	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	6H 1M 10S	6	27	12	2024	1	2024-12-27 06:01:10
NA	NA	NA	NA	4	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	6H 1M 10S	6	27	12	2024	1	2024-12-27 06:01:10
20,63	92,64	99,67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	6H 29M 26S	6	27	12	2024	29	2024-12-27 06:29:26
20,63	92,64	99,67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	6H 29M 26S	6	27	12	2024	29	2024-12-27 06:29:26
NA	NA	NA	NA	19	1	0,01	NA	NA	NA	NA	NA	NA	2024-12-27	6H 29M 34S	6	27	12	2024	29	2024-12-27 06:29:34
NA	NA	NA	NA	19	1	0,01	NA	NA	NA	NA	NA	NA	2024-12-27	6H 29M 34S	6	27	12	2024	29	2024-12-27 06:29:34
NA	NA	NA	NA	19	1	0,01	NA	NA	NA	NA	NA	NA	2024-12-27	6H 29M 34S	6	27	12	2024	29	2024-12-27 06:29:34
20,39	NA	96,22	339	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	6H 29M 41S	6	27	12	2024	29	2024-12-27 06:29:41
20,39	NA	96,22	339	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	6H 29M 41S	6	27	12	2024	29	2024-12-27 06:29:41
20,39	NA	96,22	339	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	6H 29M 41S	6	27	12	2024	29	2024-12-27 06:29:41
20,67	NA	96,15	334	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	6H 59M 41S	6	27	12	2024	59	2024-12-27 06:59:41
20,67	NA	96,15	334	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	6H 59M 41S	6	27	12	2024	59	2024-12-27 06:59:41
20,67	NA	96,15	334	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	6H 59M 41S	6	27	12	2024	59	2024-12-27 06:59:41
20,79	NA	96,07	320	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	7H 29M 41S	7	27	12	2024	29	2024-12-27 07:29:41
20,79	NA	96,07	320	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	7H 29M 41S	7	27	12	2024	29	2024-12-27 07:29:41
20,79	NA	96,07	320	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	7H 29M 41S	7	27	12	2024	29	2024-12-27 07:29:41
21,03	92,7	99,43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	7H 30M 40S	7	27	12	2024	30	2024-12-27 07:30:40
20,79	NA	96,07	320	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	7H 30M 39S	7	27	12	2024	30	2024-12-27 07:30:39
20,79	NA	96,07	320	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	7H 30M 39S	7	27	12	2024	30	2024-12-27 07:30:39
21,03	92,7	99,43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	7H 30M 40S	7	27	12	2024	30	2024-12-27 07:30:40
21,03	92,7	99,43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	7H 30M 40S	7	27	12	2024	30	2024-12-27 07:30:40
20,79	NA	96,07	320	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	7H 30M 39S	7	27	12	2024	30	2024-12-27 07:30:39
21,55	92,71	99,16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	7H 59M 25S	7	27	12	2024	59	2024-12-27 07:59:25
NA	NA	NA	NA	68	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	7H 59M 33S	7	27	12	2024	59	2024-12-27 07:59:33
NA	NA	NA	NA	68	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	7H 59M 33S	7	27	12	2024	59	2024-12-27 07:59:33
21,3	NA	95,94	318	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	7H 59M 41S	7	27	12	2024	59	2024-12-27 07:59:41
21,3	NA	95,94	318	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	7H 59M 41S	7	27	12	2024	59	2024-12-27 07:59:41
21,3	NA	95,94	318	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	7H 59M 41S	7	27	12	2024	59	2024-12-27 07:59:41
21,75	92,73	99,12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	8H 29M 25S	8	27	12	2024	29	2024-12-27 08:29:25
21,75	92,73	99,12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	8H 29M 25S	8	27	12	2024	29	2024-12-27 08:29:25
21,75	92,73	99,12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	8H 29M 25S	8	27	12	2024	29	2024-12-27 08:29:25
NA	NA	NA	NA	34	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	8H 29M 33S	8	27	12	2024	29	2024-12-27 08:29:33
NA	NA	NA	NA	34	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	8H 29M 33S	8	27	12	2024	29	2024-12-27 08:29:33
NA	NA	NA	NA	34	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	8H 29M 33S	8	27	12	2024	29	2024-12-27 08:29:33
21,52	NA	95,99	324	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	8H 29M 41S	8	27	12	2024	29	2024-12-27 08:29:41
21,52	NA	95,99	324	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	8H 29M 41S	8	27	12	2024	29	2024-12-27 08:29:41
21,52	NA	95,99	324	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	8H 29M 41S	8	27	12	2024	29	2024-12-27 08:29:41
22,11	92,74	99,13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	8H 59M 25S	8	27	12	2024	59	2024-12-27 08:59:25
22,11	92,74	99,13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	8H 59M 25S	8	27	12	2024	59	2024-12-27 08:59:25
22,11	92,74	99,13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	8H 59M 25S	8	27	12	2024	59	2024-12-27 08:59:25
NA	NA	NA	NA	40	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	8H 59M 33S	8	27	12	2024	59	2024-12-27 08:59:33
NA	NA	NA	NA	40	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	8H 59M 33S	8	27	12	2024	59	2024-12-27 08:59:33
NA	NA	NA	NA	40	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	8H 59M 33S	8	27	12	2024	59	2024-12-27 08:59:33
21,89	NA	95,89	330	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	8H 59M 41S	8	27	12	2024	59	2024-12-27 08:59:41
21,89	NA	95,89	330	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	8H 59M 41S	8	27	12	2024	59	2024-12-27 08:59:41
21,89	NA	95,89	330	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	8H 59M 41S	8	27	12	2024	59	2024-12-27 08:59:41
22,13	92,77	99,17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	9H 29M 25S	9	27	12	2024	29	2024-12-27 09:29:25
22,13	92,77	99,17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	9H 29M 25S	9	27	12	2024	29	2024-12-27 09:29:25
22,13	92,77	99,17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	9H 29M 25S	9	27	12	2024	29	2024-12-27 09:29:25
NA	NA	NA	NA	53	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	9H 29M 33S	9	27	12	2024	29	2024-12-27 09:29:33
NA	NA	NA	NA	53	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	9H 29M 33S	9	27	12	2024	29	2024-12-27 09:29:33
NA	NA	NA	NA	53	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	9H 29M 33S	9	27	12	2024	29	2024-12-27 09:29:33
21,89	NA	95,91	316	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	9H 29M 41S	9	27	12	2024	29	2024-12-27 09:29:41
21,89	NA	95,91	316	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	9H 29M 41S	9	27	12	2024	29	2024-12-27 09:29:41
21,89	NA	95,91	316	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	9H 29M 41S	9	27	12	2024	29	2024-12-27 09:29:41
22,32	92,78	99,03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	9H 59M 25S	9	27	12	2024	59	2024-12-27 09:59:25
22,32	92,78	99,03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	9H 59M 25S	9	27	12	2024	59	2024-12-27 09:59:25
22,32	92,78	99,03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	9H 59M 25S	9	27	12	2024	59	2024-12-27 09:59:25
NA	NA	NA	NA	29	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	9H 59M 33S	9	27	12	2024	59	2024-12-27 09:59:33
NA	NA	NA	NA	29	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	9H 59M 33S	9	27	12	2024	59	2024-12-27 09:59:33
NA	NA	NA	NA	29	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	9H 59M 33S	9	27	12	2024	59	2024-12-27 09:59:33
22,09	NA	95,96	310	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	9H 59M 40S	9	27	12	2024	59	2024-12-27 09:59:40
22,09	NA	95,96	310	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	9H 59M 40S	9	27	12	2024	59	2024-12-27 09:59:40
22,09	NA	95,96	310	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	9H 59M 40S	9	27	12	2024	59	2024-12-27 09:59:40
NA	NA	NA	NA	12	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	10H 29M 32S	10	27	12	2024	29	2024-12-27 10:29:32
NA	NA	NA	NA	12	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	10H 29M 32S	10	27	12	2024	29	2024-12-27 10:29:32
NA	NA	NA	NA	12	0	0	NA	NA	NA	NA	NA	NA	2024-12-27	10H 29M 32S	10	27	12	2024	29	2024-12-27 10:29:32
21,95	NA	96,02	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	10H 29M 40S	10	27	12	2024	29	2024-12-27 10:29:40
21,95	NA	96,02	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-12-27	10H 29M 40S	10	27	12	2024	29	2024-12-27 10:29:40
