"Date"	"Time"	"Temperature"	"Pressure"	"Humidity"	"CO2.Concentration"	"Luminosity"	"UV.Intensity"	"UV.Index"	"Latitude"	"Longitude"	"Speed"	"Altitude"	"GNSS.Time"	"GNSS.Date"	"H"	"D"	"M"	"Y"	"m"	"DateTime"
2024-12-21	2H 9M 45S	20,04	92,43	85,43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	21	12	2024	9	2024-12-21 02:09:45
2024-12-21	2H 10M 0S	20,57	NA	89,38	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	21	12	2024	10	2024-12-21 02:10:00
2024-12-21	2H 34M 45S	20,16	92,41	85,34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	21	12	2024	34	2024-12-21 02:34:45
2024-12-21	2H 34M 52S	NA	NA	NA	NA	3	2	0,03	NA	NA	NA	NA	NA	NA	2	21	12	2024	34	2024-12-21 02:34:52
2024-12-21	2H 35M 0S	20,64	NA	89,42	299	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	21	12	2024	35	2024-12-21 02:35:00
2024-12-21	2H 59M 44S	20,09	92,4	85,47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	21	12	2024	59	2024-12-21 02:59:44
2024-12-21	2H 59M 52S	NA	NA	NA	NA	2	1	0,01	NA	NA	NA	NA	NA	NA	2	21	12	2024	59	2024-12-21 02:59:52
2024-12-21	3H 0M 0S	20,57	NA	89,5	307	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	21	12	2024	0	2024-12-21 03:00:00
2024-12-21	3H 24M 44S	20,11	92,41	85,72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	21	12	2024	24	2024-12-21 03:24:44
2024-12-21	3H 24M 52S	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	3	21	12	2024	24	2024-12-21 03:24:52
2024-12-21	3H 25M 0S	20,6	NA	89,66	308	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	21	12	2024	25	2024-12-21 03:25:00
2024-12-21	3H 49M 44S	19,92	92,42	85,88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	21	12	2024	49	2024-12-21 03:49:44
2024-12-21	3H 50M 0S	20,38	NA	89,9	315	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	21	12	2024	50	2024-12-21 03:50:00
2024-12-21	4H 39M 44S	19,79	92,43	86,02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	21	12	2024	39	2024-12-21 04:39:44
2024-12-21	4H 39M 52S	NA	NA	NA	NA	1	2	0,03	NA	NA	NA	NA	NA	NA	4	21	12	2024	39	2024-12-21 04:39:52
2024-12-21	4H 39M 59S	20,22	NA	90,04	300	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	21	12	2024	39	2024-12-21 04:39:59
2024-12-21	5H 4M 44S	19,92	92,47	86,02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	21	12	2024	4	2024-12-21 05:04:44
2024-12-21	5H 4M 52S	NA	NA	NA	NA	2	0	0	NA	NA	NA	NA	NA	NA	5	21	12	2024	4	2024-12-21 05:04:52
2024-12-21	5H 4M 59S	20,43	NA	89,95	308	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	21	12	2024	4	2024-12-21 05:04:59
2024-12-21	5H 29M 44S	20,02	92,5	85,99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	21	12	2024	29	2024-12-21 05:29:44
2024-12-21	5H 29M 51S	NA	NA	NA	NA	13	0	0	NA	NA	NA	NA	NA	NA	5	21	12	2024	29	2024-12-21 05:29:51
2024-12-21	5H 29M 59S	20,55	NA	89,88	307	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	21	12	2024	29	2024-12-21 05:29:59
2024-12-21	5H 54M 44S	20,34	92,51	85,81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	21	12	2024	54	2024-12-21 05:54:44
2024-12-21	5H 54M 51S	NA	NA	NA	NA	200	5	0,09	NA	NA	NA	NA	NA	NA	5	21	12	2024	54	2024-12-21 05:54:51
2024-12-21	5H 54M 59S	20,85	NA	89,82	313	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	21	12	2024	54	2024-12-21 05:54:59
2024-12-21	6H 19M 43S	21,01	92,54	84,96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	21	12	2024	19	2024-12-21 06:19:43
2024-12-21	6H 19M 51S	NA	NA	NA	NA	357	0	0	NA	NA	NA	NA	NA	NA	6	21	12	2024	19	2024-12-21 06:19:51
2024-12-21	6H 19M 59S	21,48	NA	89,46	313	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	21	12	2024	19	2024-12-21 06:19:59
2024-12-21	7H 9M 43S	21,95	92,59	83,86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	21	12	2024	9	2024-12-21 07:09:43
2024-12-21	7H 9M 51S	NA	NA	NA	NA	475	0	0	NA	NA	NA	NA	NA	NA	7	21	12	2024	9	2024-12-21 07:09:51
2024-12-21	7H 9M 59S	22,47	NA	88,68	315	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	21	12	2024	9	2024-12-21 07:09:59
2024-12-21	7H 9M 59S	22,47	NA	88,68	315	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	21	12	2024	9	2024-12-21 07:09:59
2024-12-21	7H 34M 43S	22,91	92,62	82,64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	21	12	2024	34	2024-12-21 07:34:43
2024-12-21	7H 34M 51S	NA	NA	NA	NA	1009	78	1,9	NA	NA	NA	NA	NA	NA	7	21	12	2024	34	2024-12-21 07:34:51
2024-12-21	7H 34M 59S	23,25	NA	88,19	311	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	21	12	2024	34	2024-12-21 07:34:59
2024-12-21	7H 59M 43S	25,46	92,63	77,78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	21	12	2024	59	2024-12-21 07:59:43
2024-12-21	7H 59M 51S	NA	NA	NA	NA	2395	25	0,51	NA	NA	NA	NA	NA	NA	7	21	12	2024	59	2024-12-21 07:59:51
2024-12-21	7H 59M 59S	25,6	NA	85,45	309	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	21	12	2024	59	2024-12-21 07:59:59
2024-12-21	8H 24M 43S	42,71	92,65	41,65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	21	12	2024	24	2024-12-21 08:24:43
2024-12-21	8H 24M 50S	NA	NA	NA	NA	0	92	41,65	NA	NA	NA	NA	NA	NA	8	21	12	2024	24	2024-12-21 08:24:50
2024-12-21	8H 24M 58S	41,2	NA	58,39	314	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	21	12	2024	24	2024-12-21 08:24:58
2024-12-21	8H 49M 43S	38,1	92,67	50,22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	21	12	2024	49	2024-12-21 08:49:43
2024-12-21	8H 49M 51S	NA	NA	NA	NA	12487	0	0	NA	NA	NA	NA	NA	NA	8	21	12	2024	49	2024-12-21 08:49:51
2024-12-21	8H 49M 59S	37,57	NA	63,37	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	21	12	2024	49	2024-12-21 08:49:59
2024-12-21	9H 39M 42S	37,59	92,69	52,26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	21	12	2024	39	2024-12-21 09:39:42
2024-12-21	9H 39M 50S	NA	NA	NA	NA	5483	63	1,46	NA	NA	NA	NA	NA	NA	9	21	12	2024	39	2024-12-21 09:39:50
2024-12-21	9H 39M 58S	37,86	NA	62,71	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	21	12	2024	39	2024-12-21 09:39:58
2024-12-21	10H 4M 42S	38,05	92,68	51,43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	21	12	2024	4	2024-12-21 10:04:42
2024-12-21	10H 4M 58S	38,96	NA	60,53	311	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	21	12	2024	4	2024-12-21 10:04:58
2024-12-21	10H 29M 42S	36,49	92,66	54,92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	21	12	2024	29	2024-12-21 10:29:42
2024-12-21	10H 29M 50S	NA	NA	NA	NA	3140	35	0,74	NA	NA	NA	NA	NA	NA	10	21	12	2024	29	2024-12-21 10:29:50
2024-12-21	10H 29M 58S	37,48	NA	62,75	298	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	21	12	2024	29	2024-12-21 10:29:58
2024-12-21	10H 54M 42S	34,08	92,65	56,31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	21	12	2024	54	2024-12-21 10:54:42
2024-12-21	10H 54M 50S	NA	NA	NA	NA	1774	29	0,6	NA	NA	NA	NA	NA	NA	10	21	12	2024	54	2024-12-21 10:54:50
2024-12-21	10H 54M 58S	34,65	NA	64,04	293	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	21	12	2024	54	2024-12-21 10:54:58
2024-12-21	11H 19M 42S	39,26	92,62	45,8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	21	12	2024	19	2024-12-21 11:19:42
2024-12-21	11H 19M 50S	NA	NA	NA	NA	2496	43	0,93	NA	NA	NA	NA	NA	NA	11	21	12	2024	19	2024-12-21 11:19:50
2024-12-21	11H 19M 58S	40,75	NA	54,06	304	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	21	12	2024	19	2024-12-21 11:19:58
2024-12-21	12H 9M 42S	38,71	92,57	46,09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	21	12	2024	9	2024-12-21 12:09:42
2024-12-21	12H 9M 50S	NA	NA	NA	NA	3806	34	0,72	NA	NA	NA	NA	NA	NA	12	21	12	2024	9	2024-12-21 12:09:50
2024-12-21	12H 9M 58S	39,87	NA	54,51	294	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	21	12	2024	9	2024-12-21 12:09:58
2024-12-21	12H 34M 42S	41,62	92,53	40,62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	21	12	2024	34	2024-12-21 12:34:42
2024-12-21	12H 34M 50S	NA	NA	NA	NA	2845	32	0,67	NA	NA	NA	NA	NA	NA	12	21	12	2024	34	2024-12-21 12:34:50
2024-12-21	12H 59M 41S	37,59	92,47	41,3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	21	12	2024	59	2024-12-21 12:59:41
2024-12-21	12H 59M 49S	NA	NA	NA	NA	1328	12	0,23	NA	NA	NA	NA	NA	NA	12	21	12	2024	59	2024-12-21 12:59:49
2024-12-21	12H 59M 57S	37,79	NA	51,12	291	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	21	12	2024	59	2024-12-21 12:59:57
2024-12-21	13H 24M 49S	NA	NA	NA	NA	1601	37	0,79	NA	NA	NA	NA	NA	NA	13	21	12	2024	24	2024-12-21 13:24:49
2024-12-21	13H 49M 49S	NA	NA	NA	NA	1137	40	0,86	NA	NA	NA	NA	NA	NA	13	21	12	2024	49	2024-12-21 13:49:49
2024-12-21	13H 49M 57S	28,17	NA	67,27	285	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	21	12	2024	49	2024-12-21 13:49:57
2024-12-21	14H 39M 41S	24,19	92,42	72,96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	21	12	2024	39	2024-12-21 14:39:41
2024-12-21	14H 39M 49S	NA	NA	NA	NA	251	0	0	NA	NA	NA	NA	NA	NA	14	21	12	2024	39	2024-12-21 14:39:49
2024-12-21	14H 39M 57S	24,04	NA	82,29	297	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	21	12	2024	39	2024-12-21 14:39:57
2024-12-20	3H 39M 59S	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	3	20	12	2024	39	2024-12-20 03:39:59
2024-12-20	10H 20M 5S	30,3	NA	58,1	335	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	20	12	2024	20	2024-12-20 10:20:05
2024-12-20	13H 39M 56S	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	13	20	12	2024	39	2024-12-20 13:39:56
2024-12-20	13H 40M 4S	29,95	NA	57,95	333	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	20	12	2024	40	2024-12-20 13:40:04
2024-12-20	14H 5M 4S	29,55	NA	58,19	324	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	20	12	2024	5	2024-12-20 14:05:04
2024-12-20	14H 29M 56S	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	14	20	12	2024	29	2024-12-20 14:29:56
2024-12-20	14H 30M 4S	29,53	NA	58,62	317	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	20	12	2024	30	2024-12-20 14:30:04
2024-12-20	15H 19M 48S	31,42	92,15	47,91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	20	12	2024	19	2024-12-20 15:19:48
2024-12-20	15H 19M 56S	NA	NA	NA	NA	2176	0	0	NA	NA	NA	NA	NA	NA	15	20	12	2024	19	2024-12-20 15:19:56
2024-12-20	16H 9M 48S	34,8	92,18	43,4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	20	12	2024	9	2024-12-20 16:09:48
2024-12-20	16H 10M 3S	34,64	NA	54,38	288	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	20	12	2024	10	2024-12-20 16:10:03
2024-12-20	16H 35M 3S	34,55	NA	53,35	290	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	20	12	2024	35	2024-12-20 16:35:03
2024-12-20	17H 24M 47S	20,57	92,36	70,91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	20	12	2024	24	2024-12-20 17:24:47
2024-12-20	17H 25M 3S	20,58	NA	79,23	270	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	20	12	2024	25	2024-12-20 17:25:03
2024-12-20	17H 49M 55S	NA	NA	NA	NA	16	0	0	NA	NA	NA	NA	NA	NA	17	20	12	2024	49	2024-12-20 17:49:55
2024-12-20	17H 50M 3S	20,64	NA	81,67	279	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	20	12	2024	50	2024-12-20 17:50:03
2024-12-20	18H 39M 47S	20,32	92,5	77,95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	20	12	2024	39	2024-12-20 18:39:47
2024-12-20	18H 39M 55S	NA	NA	NA	NA	16	1	0,01	NA	NA	NA	NA	NA	NA	18	20	12	2024	39	2024-12-20 18:39:55
2024-12-20	18H 40M 3S	20,67	NA	83,16	286	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	20	12	2024	40	2024-12-20 18:40:03
2024-12-20	19H 4M 47S	20,55	92,52	79,28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	20	12	2024	4	2024-12-20 19:04:47
2024-12-20	19H 4M 54S	NA	NA	NA	NA	3	2	0,03	NA	NA	NA	NA	NA	NA	19	20	12	2024	4	2024-12-20 19:04:54
2024-12-20	19H 5M 2S	20,87	NA	84,39	282	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	20	12	2024	5	2024-12-20 19:05:02
2024-12-20	19H 29M 47S	20,49	92,49	80,62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	20	12	2024	29	2024-12-20 19:29:47
2024-12-20	19H 29M 54S	NA	NA	NA	NA	1	1	0,01	NA	NA	NA	NA	NA	NA	19	20	12	2024	29	2024-12-20 19:29:54
2024-12-20	19H 30M 2S	20,84	NA	85,5	289	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	20	12	2024	30	2024-12-20 19:30:02
2024-12-20	19H 54M 47S	20,52	92,49	81,52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	20	12	2024	54	2024-12-20 19:54:47
2024-12-20	19H 54M 54S	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	19	20	12	2024	54	2024-12-20 19:54:54
2024-12-20	19H 55M 2S	20,9	NA	86,25	281	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	20	12	2024	55	2024-12-20 19:55:02
2024-12-20	20H 19M 46S	20,57	92,53	82,15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	12	2024	19	2024-12-20 20:19:46
2024-12-20	20H 19M 54S	NA	NA	NA	NA	2	3	0,05	NA	NA	NA	NA	NA	NA	20	20	12	2024	19	2024-12-20 20:19:54
2024-12-20	21H 9M 46S	20,49	92,52	82,72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	20	12	2024	9	2024-12-20 21:09:46
2024-12-20	21H 9M 54S	NA	NA	NA	NA	0	1	0,01	NA	NA	NA	NA	NA	NA	21	20	12	2024	9	2024-12-20 21:09:54
2024-12-20	21H 10M 2S	20,92	NA	87,23	296	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	20	12	2024	10	2024-12-20 21:10:02
2024-12-20	21H 34M 46S	20,39	92,56	83,19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	20	12	2024	34	2024-12-20 21:34:46
2024-12-20	21H 34M 54S	NA	NA	NA	NA	0	3	0,05	NA	NA	NA	NA	NA	NA	21	20	12	2024	34	2024-12-20 21:34:54
2024-12-20	21H 35M 2S	20,75	NA	87,67	294	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	20	12	2024	35	2024-12-20 21:35:02
2024-12-20	21H 59M 46S	20,29	92,57	83,68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	20	12	2024	59	2024-12-20 21:59:46
2024-12-20	21H 59M 54S	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	21	20	12	2024	59	2024-12-20 21:59:54
2024-12-20	22H 0M 3S	20,73	NA	87,96	289	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	20	12	2024	0	2024-12-20 22:00:03
2024-12-20	22H 24M 46S	20,2	92,56	84,06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	20	12	2024	24	2024-12-20 22:24:46
2024-12-20	22H 24M 54S	NA	NA	NA	NA	0	2	0,03	NA	NA	NA	NA	NA	NA	22	20	12	2024	24	2024-12-20 22:24:54
2024-12-20	22H 25M 1S	20,61	NA	88,23	299	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	20	12	2024	25	2024-12-20 22:25:01
2024-12-20	22H 49M 46S	20,17	92,54	84,43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	20	12	2024	49	2024-12-20 22:49:46
2024-12-20	22H 49M 46S	20,17	92,54	84,43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	20	12	2024	49	2024-12-20 22:49:46
2024-12-20	22H 49M 53S	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	22	20	12	2024	49	2024-12-20 22:49:53
2024-12-20	22H 50M 1S	20,61	NA	88,49	298	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	20	12	2024	50	2024-12-20 22:50:01
2024-12-20	23H 39M 45S	20,03	92,54	84,63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	20	12	2024	39	2024-12-20 23:39:45
2024-12-20	23H 39M 53S	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	23	20	12	2024	39	2024-12-20 23:39:53
2024-12-20	23H 40M 1S	20,46	NA	88,78	299	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	20	12	2024	40	2024-12-20 23:40:01
